N Size,# Multiplication Operations,# Addition Operations,Total of Operations,Running Time
1,1,0,1,2.41E-05
2,7,18,25,8.30E-05
4,49,198,247,0.000633717
8,343,1674,2017,0.004836082
16,2401,12870,15271,0.037653923
32,16807,94698,111505,0.240313053
64,117649,681318,798967,1.440125942
128,823543,4842954,5666497,9.652199984
256,5764801,34195590,39960391,68.03979182
512,40353607,240548778,280902385,474.9493277
1024,282475249,1688560038,1971035287,3333.153466